STATE,DISTRICT,YEAR,CROP,AREA,PRODUCTION,YIELD,SEASON,ph,organic matter(%),Available Nitrogen(Kg./Ha.),Available Phosphorus(Kg./Ha.),Available Potash(Kg./Ha.),TOTAL RAINFALL PER YEAR(mm)
BIHAR,Araria,2005,HORSEGRAM,,1590,,KHARIF,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2007,MASOOR,,1342,,RABI,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2007,GRAM,1216,1172,0.96,RABI,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2005,MAIZE,24466,60615,2.48,TOTAL,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2006,MOONG,1097,553,0.5,KHARIF,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2008,MAIZE,25343,99907,3.94,TOTAL,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2008,MOONG,8381,4587,0.55,TOTAL,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2006,KESARI,,1983,,RABI,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,1998,MAIZE,15869,24092,1.52,TOTAL,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2008,SUNFLOWER,3812,5451,1.43,RABI,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2008,GRAM,1296,721,0.56,RABI,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2005,OTHER KHARIF PULSES,9,5,0.56,KHARIF,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2005,BANANA,,5730,,WHOLE YEAR,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2008,ONION,,8139,,WHOLE YEAR,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2005,MASOOR,,1228,,RABI,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2000,OTHER KHARIF PULSES,20,10,0.5,KHARIF,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2006,SUNFLOWER,2870,4163,1.45,RABI,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2007,BANANA,,4391,,WHOLE YEAR,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2007,SWEET POTATO,693,8832,12.74,WHOLE YEAR,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2000,MOONG,8736,8684,0.99,RABI,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2005,DRY GINGER,,59,,WHOLE YEAR,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2007,SANNHAMP,1036,4733,4.57,KHARIF,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2008,LINSEED,1957,1656,0.85,RABI,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,1999,OTHER RABI PULSES,,431,,RABI,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2006,RAPESEED &MUSTARD,3346,2436,0.73,RABI,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2008,KESARI,,3423,,RABI,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2006,BARLEY,55,59,1.07,RABI,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2005,MOONG,5964,3364,0.56,SUMMER,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2007,MAIZE,6671,21639,3.24,AUTUMN,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2005,KESARI,,1861,,RABI,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2005,JUTE,31127,315939,10.15,KHARIF,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2008,RAGI,799,650,0.81,KHARIF,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2007,ARHAR (TUR),371,394,1.06,KHARIF,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,1998,OTHER KHARIF PULSES,4789,3103,0.65,KHARIF,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2005,SMALL MILLETS,,46,,KHARIF,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2007,GROUNDNUT,,219,,KHARIF,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2006,LINSEED,1635,1388,0.85,RABI,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,1998,SWEET POTATO,1143,12356,10.81,WHOLE YEAR,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,1998,RICE,93100,90299,0.97,WINTER,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2006,SESAMUM,12,9,0.75,RABI,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,1998,BANANA,,6347,,WHOLE YEAR,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2007,BARLEY,47,56,1.19,RABI,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2005,RICE,122044,93966,0.77,TOTAL,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2005,SANNHAMP,774,670,0.87,WHOLE YEAR,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2008,POTATO,8083,51316,6.35,TOTAL,7.15,0.6,225,22.5,200,1450
