STATE,DISTRICT,YEAR,CROP,AREA,PRODUCTION,YIELD,SEASON,ph,organic matter(%),Available Nitrogen(Kg./Ha.),Available Phosphorus(Kg./Ha.),Available Potash(Kg./Ha.),TOTAL RAINFALL PER YEAR(mm)
BIHAR,Araria,2005,HORSEGRAM,,1590.0,,KHARIF,7.15,0.6,225.0,22.5,200.0,1450.0
BIHAR,Araria,2007,MASOOR,,1342.0,,RABI,7.15,0.6,225.0,22.5,200.0,1450.0
BIHAR,Araria,2007,GRAM,1216.0,1172.0,0.96,RABI,7.15,0.6,225.0,22.5,200.0,1450.0
BIHAR,Araria,2005,MAIZE,24466.0,60615.0,2.48,TOTAL ,7.15,0.6,225.0,22.5,200.0,1450.0
BIHAR,Araria,2006,MOONG,1097.0,553.0,0.5,KHARIF,7.15,0.6,225.0,22.5,200.0,1450.0
BIHAR,Araria,2008,MAIZE,25343.0,99907.0,3.94,TOTAL ,7.15,0.6,225.0,22.5,200.0,1450.0
BIHAR,Araria,2008,MOONG,8381.0,4587.0,0.55,TOTAL ,7.15,0.6,225.0,22.5,200.0,1450.0
BIHAR,Araria,2006,KESARI,,1983.0,,RABI,7.15,0.6,225.0,22.5,200.0,1450.0
BIHAR,Araria,1998,MAIZE,15869.0,24092.0,1.52,TOTAL ,7.15,0.6,225.0,22.5,200.0,1450.0
BIHAR,Araria,2008,SUNFLOWER,3812.0,5451.0,1.43,RABI,7.15,0.6,225.0,22.5,200.0,1450.0
BIHAR,Araria,2008,GRAM,1296.0,721.0,0.56,RABI,7.15,0.6,225.0,22.5,200.0,1450.0
BIHAR,Araria,2005,OTHER KHARIF PULSES,9.0,5.0,0.56,KHARIF,7.15,0.6,225.0,22.5,200.0,1450.0
BIHAR,Araria,2005,BANANA,,5730.0,,WHOLE YEAR,7.15,0.6,225.0,22.5,200.0,1450.0
BIHAR,Araria,2008,ONION,,8139.0,,WHOLE YEAR,7.15,0.6,225.0,22.5,200.0,1450.0
BIHAR,Araria,2005,MASOOR,,1228.0,,RABI,7.15,0.6,225.0,22.5,200.0,1450.0
BIHAR,Araria,2000,OTHER KHARIF PULSES,20.0,10.0,0.5,KHARIF,7.15,0.6,225.0,22.5,200.0,1450.0
BIHAR,Araria,2006,SUNFLOWER,2870.0,4163.0,1.45,RABI,7.15,0.6,225.0,22.5,200.0,1450.0
BIHAR,Araria,2007,BANANA,,4391.0,,WHOLE YEAR,7.15,0.6,225.0,22.5,200.0,1450.0
BIHAR,Araria,2007,SWEET POTATO,693.0,8832.0,12.74,WHOLE YEAR,7.15,0.6,225.0,22.5,200.0,1450.0
BIHAR,Araria,2000,MOONG,8736.0,8684.0,0.99,RABI,7.15,0.6,225.0,22.5,200.0,1450.0
BIHAR,Araria,2005,DRY GINGER,,59.0,,WHOLE YEAR,7.15,0.6,225.0,22.5,200.0,1450.0
BIHAR,Araria,2007,SANNHAMP,1036.0,4733.0,4.57,KHARIF,7.15,0.6,225.0,22.5,200.0,1450.0
BIHAR,Araria,2008,LINSEED,1957.0,1656.0,0.85,RABI,7.15,0.6,225.0,22.5,200.0,1450.0
BIHAR,Araria,1999,OTHER RABI PULSES,,431.0,,RABI,7.15,0.6,225.0,22.5,200.0,1450.0
BIHAR,Araria,2006,RAPESEED &MUSTARD,3346.0,2436.0,0.73,RABI,7.15,0.6,225.0,22.5,200.0,1450.0
BIHAR,Araria,2008,KESARI,,3423.0,,RABI,7.15,0.6,225.0,22.5,200.0,1450.0
BIHAR,Araria,2006,BARLEY,55.0,59.0,1.07,RABI,7.15,0.6,225.0,22.5,200.0,1450.0
BIHAR,Araria,2005,MOONG,5964.0,3364.0,0.56,SUMMER,7.15,0.6,225.0,22.5,200.0,1450.0
BIHAR,Araria,2007,MAIZE,6671.0,21639.0,3.24,AUTUMN,7.15,0.6,225.0,22.5,200.0,1450.0
BIHAR,Araria,2005,KESARI,,1861.0,,RABI,7.15,0.6,225.0,22.5,200.0,1450.0
BIHAR,Araria,2005,JUTE,31127.0,315939.0,10.15,KHARIF,7.15,0.6,225.0,22.5,200.0,1450.0
BIHAR,Araria,2008,RAGI,799.0,650.0,0.81,KHARIF,7.15,0.6,225.0,22.5,200.0,1450.0
BIHAR,Araria,2007,ARHAR (TUR),371.0,394.0,1.06,KHARIF,7.15,0.6,225.0,22.5,200.0,1450.0
BIHAR,Araria,1998,OTHER KHARIF PULSES,4789.0,3103.0,0.65,KHARIF,7.15,0.6,225.0,22.5,200.0,1450.0
BIHAR,Araria,2005,SMALL MILLETS,,46.0,,KHARIF,7.15,0.6,225.0,22.5,200.0,1450.0
BIHAR,Araria,2007,GROUNDNUT,,219.0,,KHARIF,7.15,0.6,225.0,22.5,200.0,1450.0
BIHAR,Araria,2006,LINSEED,1635.0,1388.0,0.85,RABI,7.15,0.6,225.0,22.5,200.0,1450.0
BIHAR,Araria,1998,SWEET POTATO,1143.0,12356.0,10.81,WHOLE YEAR,7.15,0.6,225.0,22.5,200.0,1450.0
BIHAR,Araria,1998,RICE,93100.0,90299.0,0.97,WINTER,7.15,0.6,225.0,22.5,200.0,1450.0
BIHAR,Araria,2006,SESAMUM,12.0,9.0,0.75,RABI,7.15,0.6,225.0,22.5,200.0,1450.0
BIHAR,Araria,1998,BANANA,,6347.0,,WHOLE YEAR,7.15,0.6,225.0,22.5,200.0,1450.0
BIHAR,Araria,2007,BARLEY,47.0,56.0,1.19,RABI,7.15,0.6,225.0,22.5,200.0,1450.0
BIHAR,Araria,2005,RICE,122044.0,93966.0,0.77,TOTAL ,7.15,0.6,225.0,22.5,200.0,1450.0
BIHAR,Araria,2005,SANNHAMP,774.0,670.0,0.87,WHOLE YEAR,7.15,0.6,225.0,22.5,200.0,1450.0
BIHAR,Araria,2008,POTATO,8083.0,51316.0,6.35,TOTAL ,7.15,0.6,225.0,22.5,200.0,1450.0
BIHAR,Araria,2005,URAD,,634.0,,KHARIF,7.15,0.6,225.0,22.5,200.0,1450.0
BIHAR,Araria,2007,SUNFLOWER,3812.0,5451.0,1.43,RABI,7.15,0.6,225.0,22.5,200.0,1450.0
BIHAR,Araria,2005,MOONG,8162.0,4714.0,0.58,TOTAL ,7.15,0.6,225.0,22.5,200.0,1450.0
BIHAR,Araria,2007,RICE,20016.0,19467.0,0.97,AUTUMN,7.15,0.6,225.0,22.5,200.0,1450.0
BIHAR,Araria,2007,MAIZE,9808.0,37820.0,3.86,SUMMER,7.15,0.6,225.0,22.5,200.0,1450.0
BIHAR,Araria,2007,DRY GINGER,,109.0,,KHARIF,7.15,0.6,225.0,22.5,200.0,1450.0
BIHAR,Araria,2005,DRY CHILLIES,,204.0,,WHOLE YEAR,7.15,0.6,225.0,22.5,200.0,1450.0
BIHAR,Araria,2007,URAD,,150.0,,KHARIF,7.15,0.6,225.0,22.5,200.0,1450.0
BIHAR,Araria,2006,RICE,27718.0,30645.0,1.11,AUTUMN,7.15,0.6,225.0,22.5,200.0,1450.0
BIHAR,Araria,2008,MESTA,2609.0,19140.0,7.34,KHARIF,7.15,0.6,225.0,22.5,200.0,1450.0
BIHAR,Araria,2005,PEAS & BEANS (PULSES),,1143.0,,RABI,7.15,0.6,225.0,22.5,200.0,1450.0
BIHAR,Araria,2005,SUNFLOWER,3033.0,4417.0,1.46,KHARIF,7.15,0.6,225.0,22.5,200.0,1450.0
BIHAR,Araria,2005,WHEAT,50729.0,32091.0,0.63,RABI,7.15,0.6,225.0,22.5,200.0,1450.0
BIHAR,Araria,2008,DRY CHILLIES,,202.0,,WHOLE YEAR,7.15,0.6,225.0,22.5,200.0,1450.0
BIHAR,Araria,2008,JUTE,39258.0,418316.0,10.66,KHARIF,7.15,0.6,225.0,22.5,200.0,1450.0
BIHAR,Araria,1998,CORIANDER,,100.0,,WHOLE YEAR,7.15,0.6,225.0,22.5,200.0,1450.0
BIHAR,Araria,2005,ARHAR (TUR),258.0,279.0,1.08,KHARIF,7.15,0.6,225.0,22.5,200.0,1450.0
BIHAR,Araria,2007,RICE,127189.0,60609.0,0.48,TOTAL ,7.15,0.6,225.0,22.5,200.0,1450.0
BIHAR,Araria,1998,ONION,,4032.0,,WHOLE YEAR,7.15,0.6,225.0,22.5,200.0,1450.0
BIHAR,Araria,2008,TURMERIC,,343.0,,WHOLE YEAR,7.15,0.6,225.0,22.5,200.0,1450.0
BIHAR,Araria,1998,RICE,9936.0,13613.0,1.37,SUMMER,7.15,0.6,225.0,22.5,200.0,1450.0
BIHAR,Araria,2006,SANNHAMP,849.0,734.0,0.86,KHARIF,7.15,0.6,225.0,22.5,200.0,1450.0
BIHAR,Araria,2005,MAIZE,9283.0,16970.0,1.83,RABI,7.15,0.6,225.0,22.5,200.0,1450.0
BIHAR,Araria,2007,TURMERIC,,287.0,,WHOLE YEAR,7.15,0.6,225.0,22.5,200.0,1450.0
BIHAR,Araria,2006,RICE,15555.0,23189.0,1.49,SUMMER,7.15,0.6,225.0,22.5,200.0,1450.0
BIHAR,Araria,2005,ONION,,8510.0,,WHOLE YEAR,7.15,0.6,225.0,22.5,200.0,1450.0
BIHAR,Araria,2008,RAPESEED &MUSTARD,2775.0,2148.0,0.77,RABI,7.15,0.6,225.0,22.5,200.0,1450.0
BIHAR,Araria,2008,SESAMUM,23.0,17.0,0.74,KHARIF,7.15,0.6,225.0,22.5,200.0,1450.0
BIHAR,Araria,2008,ARHAR (TUR),419.0,482.0,1.15,KHARIF,7.15,0.6,225.0,22.5,200.0,1450.0
BIHAR,Araria,2008,PEAS & BEANS (PULSES),,1307.0,,RABI,7.15,0.6,225.0,22.5,200.0,1450.0
BIHAR,Araria,2005,MAIZE,7117.0,21252.0,2.99,SUMMER,7.15,0.6,225.0,22.5,200.0,1450.0
BIHAR,Araria,2005,SWEET POTATO,665.0,10416.0,15.66,WHOLE YEAR,7.15,0.6,225.0,22.5,200.0,1450.0
BIHAR,Araria,2008,SANNHAMP,918.0,4194.0,4.57,KHARIF,7.15,0.6,225.0,22.5,200.0,1450.0
BIHAR,Araria,2006,MASOOR,,1326.0,,RABI,7.15,0.6,225.0,22.5,200.0,1450.0
BIHAR,Araria,2008,SWEET POTATO,416.0,6119.0,14.71,RABI,7.15,0.6,225.0,22.5,200.0,1450.0
BIHAR,Araria,2007,POTATO,7342.0,75585.0,10.29,WHOLE YEAR,7.15,0.6,225.0,22.5,200.0,1450.0
BIHAR,Araria,1998,DRY GINGER,,67.0,,KHARIF,7.15,0.6,225.0,22.5,200.0,1450.0
BIHAR,Araria,2008,DRY GINGER,,119.0,,KHARIF,7.15,0.6,225.0,22.5,200.0,1450.0
BIHAR,Araria,2008,SWEET POTATO,716.0,10190.0,14.23,TOTAL ,7.15,0.6,225.0,22.5,200.0,1450.0
BIHAR,Araria,2006,RICE,95366.0,88707.0,0.93,WINTER,7.15,0.6,225.0,22.5,200.0,1450.0
BIHAR,Araria,2007,MOONG,1029.0,595.0,0.58,KHARIF,7.15,0.6,225.0,22.5,200.0,1450.0
BIHAR,Araria,2007,RAPESEED &MUSTARD,2817.0,2220.0,0.79,RABI,7.15,0.6,225.0,22.5,200.0,1450.0
BIHAR,Araria,1998,SANNHAMP,10.0,5.0,0.5,WHOLE YEAR,7.15,0.6,225.0,22.5,200.0,1450.0
BIHAR,Araria,2007,LINSEED,1957.0,1693.0,0.87,RABI,7.15,0.6,225.0,22.5,200.0,1450.0
