,disease,area_affected,crop,stage,yield
0,12,0.6829305497,2,2,0.5304135432
1,12,31.03870998,2,0,0.235378817
2,13,79.62577963,2,0,0.1190054054
3,13,3.890139523,2,0,0.3097585414
4,12,78.3377794,2,1,0.2096772161
5,11,81.28589511,2,2,0.1300989971
6,12,86.05937755,2,0,0.2169080302
7,11,85.560527,2,0,0.136937559
8,12,76.32928933,2,0,0.2147740696
9,13,5.832245857,2,0,0.2483447846
10,11,23.68294027,2,1,0.144534745
11,11,9.715358812,2,2,0.1559934885
12,13,47.27798588,2,1,0.1168023329
13,13,65.37198896,2,2,0.1116981914
14,11,70.29040737,2,0,0.1394948692
15,13,77.46069949,2,1,0.111089241
16,12,25.08813087,2,1,0.2186003038
17,13,86.00807311,2,0,0.1164632018
18,12,3.988912911,2,0,0.4062461999
19,11,58.78715932,2,2,0.1270374039
20,13,66.69261874,2,1,0.1133140117
21,11,78.29767414,2,0,0.1362766366
22,13,96.47440246,2,1,0.1132214426
23,11,22.4515757,2,0,0.1696531653
24,12,33.86906295,2,0,0.2267655226
25,13,82.55099971,2,1,0.111183026
26,12,15.4590637,2,1,0.2362465115
27,13,43.54722126,2,1,0.1168192332
28,13,80.7289672,2,2,0.1103037024
29,12,71.25546949,2,2,0.2052984565
30,12,57.82285158,2,2,0.2069881496
31,11,71.50186642,2,1,0.1335590284
32,12,90.89971659,2,2,0.2015536233
33,13,13.46245564,2,0,0.1738155174
34,12,18.87881189,2,1,0.2213548546
35,11,3.431400171,2,2,0.2125239751
36,11,86.0774921,2,2,0.1321317526
37,13,37.42305091,2,0,0.130797585
38,12,36.97086401,2,1,0.2134738389
39,13,30.41948079,2,2,0.1183831696
40,11,14.76876894,2,1,0.1551154766
41,11,54.57014769,2,1,0.1327777005
42,12,91.2386456,2,0,0.2112240608
43,13,78.20121253,2,0,0.1177160669
44,13,79.61577655,2,2,0.1103368173
45,11,37.83061269,2,2,0.1322047299
46,12,7.818981525,2,1,0.2604075749
47,12,45.81155522,2,2,0.2024014372
48,12,70.8289488,2,1,0.2031920205
49,11,76.91784127,2,1,0.1325372799
50,12,30.20433087,2,2,0.2150899106
51,12,26.42041996,2,1,0.2184655914
52,11,4.365036304,2,0,0.3087202428
53,12,85.1120194,2,0,0.2110325431
54,12,7.163680382,2,1,0.2685575286
55,11,25.21228415,2,1,0.1464254096
56,11,75.0511343,2,1,0.1312889135
57,11,3.680692947,2,0,0.3408707323
58,11,72.10193937,2,1,0.1339225846
59,13,17.95737922,2,0,0.1579682465
60,11,89.01344755,2,1,0.1295436522
61,11,28.89867149,2,0,0.1579659462
62,11,76.53426261,2,0,0.1356962446
63,12,45.83921191,2,0,0.2183158939
64,12,4.876505486,2,1,0.2836209732
65,13,26.42608722,2,2,0.1184997843
66,13,55.78665288,2,0,0.1213826178
67,11,49.92305396,2,1,0.1319377647
68,11,65.8018627,2,1,0.1324775368
69,13,99.05170311,2,2,0.1101681253
70,12,77.21605877,2,2,0.2047521848
71,12,81.80303227,2,1,0.2043685237
72,12,21.79731313,2,0,0.2507676567
73,12,94.57764995,2,2,0.2004657659
74,13,88.43525848,2,0,0.1134671136
75,13,23.26111074,2,0,0.1439386353
76,11,83.11871647,2,0,0.1327912334
77,12,61.61543021,2,1,0.2065568778
